"","team","home_points","home_goals.scored","home_goals.conceded","home_xg.for","home_xg.against","away_points","away_goals.scored","away_goals.conceded","away_xg.for","away_xg.against","total_goals.scored","total_goals.conceded","goals_scored.2019","goals_against.2019","xg_for.2019","xg_against.2019","points.2019","average_points","total_xg.for","total_xg.against","year","goals_scored.2020","goals_against.2020","xg_for.2020","xg_against.2020","points.2020","goals_scored.2021","goals_against.2021","xg_for.2021","xg_against.2021","points.2021","goals_scored.2022","goals_against.2022","xg_for.2022","xg_against.2022","points.2022","goals_scored.2023","goals_against.2023","xg_for.2023","xg_against.2023","points.2023"
"1","Atalanta",35,1.89473684210526,1,1.94210526315789,0.768421052631579,34,2.15789473684211,1.42105263157895,1.86842105263158,1.41052631578947,4.05263157894737,2.42105263157895,2.02631578947368,1.21052631578947,1.90526315789474,1.08947368421053,69,1.81578947368421,3.81052631578947,2.17894736842105,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Bologna",31,1.47368421052632,1.15789473684211,1.31578947368421,1.08947368421053,13,1.05263157894737,1.78947368421053,1.14736842105263,1.49473684210526,2.52631578947368,2.94736842105263,1.26315789473684,1.47368421052632,1.23157894736842,1.29210526315789,44,1.15789473684211,2.46315789473684,2.58421052631579,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Cagliari",30,1.21052631578947,1.05263157894737,1.37894736842105,1.27368421052632,11,0.68421052631579,1.78947368421053,0.836842105263158,1.98421052631579,1.89473684210526,2.8421052631579,0.947368421052632,1.42105263157895,1.10789473684211,1.62894736842105,41,1.07894736842105,2.21578947368421,3.2578947368421,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Chievo",10,0.736842105263158,1.94736842105263,0.957894736842105,1.38421052631579,10,0.578947368421053,2,0.936842105263158,1.8,1.31578947368421,3.94736842105263,0.657894736842105,1.97368421052632,0.947368421052632,1.59210526315789,20,0.526315789473684,1.89473684210526,3.18421052631579,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Empoli",30,1.73684210526316,1.57894736842105,1.64736842105263,1.68421052631579,8,0.947368421052632,2.10526315789474,1.1,1.68421052631579,2.68421052631579,3.68421052631579,1.34210526315789,1.84210526315789,1.37368421052632,1.68421052631579,38,1,2.74736842105263,3.36842105263158,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Fiorentina",24,1.31578947368421,1,1.43157894736842,0.989473684210526,17,1.15789473684211,1.36842105263158,1.40526315789474,1.15789473684211,2.47368421052632,2.36842105263158,1.23684210526316,1.18421052631579,1.41842105263158,1.07368421052632,41,1.07894736842105,2.83684210526316,2.14736842105263,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Frosinone",9,0.736842105263158,2,1.13157894736842,1.67368421052632,16,0.789473684210526,1.63157894736842,0.905263157894737,1.58947368421053,1.52631578947368,3.63157894736842,0.763157894736842,1.81578947368421,1.01842105263158,1.63157894736842,25,0.657894736842105,2.03684210526316,3.26315789473684,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Genoa",26,1.10526315789474,1.15789473684211,1.33684210526316,1.12105263157895,12,0.947368421052632,1.84210526315789,1.13684210526316,1.67894736842105,2.05263157894737,3,1.02631578947368,1.5,1.23684210526316,1.4,38,1,2.47368421052632,2.8,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Inter",38,1.42105263157895,0.526315789473684,1.60526315789474,0.78421052631579,31,1.57894736842105,1.21052631578947,1.75263157894737,1.21052631578947,3,1.73684210526316,1.5,0.868421052631579,1.67894736842105,0.997368421052632,69,1.81578947368421,3.35789473684211,1.99473684210526,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Juventus",49,2.05263157894737,0.68421052631579,1.76315789473684,0.836842105263158,41,1.63157894736842,0.894736842105263,1.43157894736842,1.03684210526316,3.68421052631579,1.57894736842105,1.84210526315789,0.789473684210526,1.59736842105263,0.936842105263158,90,2.36842105263158,3.19473684210526,1.87368421052632,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Lazio",32,1.89473684210526,1.31578947368421,1.9,1.21578947368421,27,1.05263157894737,1.10526315789474,1.27894736842105,1.25263157894737,2.94736842105263,2.42105263157895,1.47368421052632,1.21052631578947,1.58947368421053,1.23421052631579,59,1.55263157894737,3.17894736842105,2.46842105263158,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Milan",40,1.63157894736842,0.894736842105263,1.53684210526316,1.04736842105263,28,1.26315789473684,1,1.03684210526316,1.11052631578947,2.89473684210526,1.89473684210526,1.44736842105263,0.947368421052632,1.28684210526316,1.07894736842105,68,1.78947368421053,2.57368421052632,2.15789473684211,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Napoli",43,2.15789473684211,0.842105263157895,1.80526315789474,0.8,36,1.73684210526316,1.05263157894737,1.44210526315789,1.20526315789474,3.89473684210526,1.89473684210526,1.94736842105263,0.947368421052632,1.62368421052632,1.00263157894737,79,2.07894736842105,3.24736842105263,2.00526315789474,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Parma",22,0.947368421052632,1.31578947368421,1.2,1.57894736842105,19,1.21052631578947,1.89473684210526,0.91578947368421,1.84736842105263,2.15789473684211,3.21052631578947,1.07894736842105,1.60526315789474,1.05789473684211,1.71315789473684,41,1.07894736842105,2.11578947368421,3.42631578947368,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Roma",41,2.26315789473684,1.36842105263158,2.02631578947368,1.22631578947368,25,1.21052631578947,1.15789473684211,1.35789473684211,1.51578947368421,3.47368421052632,2.52631578947368,1.73684210526316,1.26315789473684,1.69210526315789,1.37105263157895,66,1.73684210526316,3.38421052631579,2.7421052631579,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","SPAL",22,1.05263157894737,1.36842105263158,1.24736842105263,1.22105263157895,20,1.26315789473684,1.57894736842105,1.06315789473684,1.5,2.31578947368421,2.94736842105263,1.15789473684211,1.47368421052632,1.15526315789474,1.36052631578947,42,1.10526315789474,2.31052631578947,2.72105263157895,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Sampdoria",32,1.47368421052632,0.842105263157895,1.44210526315789,1.12631578947368,21,1.68421052631579,1.84210526315789,1.21578947368421,1.75789473684211,3.1578947368421,2.68421052631579,1.57894736842105,1.34210526315789,1.32894736842105,1.44210526315789,53,1.39473684210526,2.65789473684211,2.88421052631579,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Sassuolo",25,1.73684210526316,1.73684210526316,1.51578947368421,1.35263157894737,18,1.05263157894737,1.42105263157895,1.03684210526316,1.67894736842105,2.78947368421053,3.1578947368421,1.39473684210526,1.57894736842105,1.27631578947368,1.51578947368421,43,1.13157894736842,2.55263157894737,3.03157894736842,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Torino",38,1.68421052631579,1,1.48947368421053,1.17894736842105,25,1.05263157894737,0.947368421052632,0.952631578947368,1.32105263157895,2.73684210526316,1.94736842105263,1.36842105263158,0.973684210526316,1.22105263157895,1.25,63,1.65789473684211,2.44210526315789,2.5,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Udinese",29,1.15789473684211,1.15789473684211,1.26315789473684,1.43684210526316,14,0.894736842105263,1.63157894736842,0.968421052631579,1.7,2.05263157894737,2.78947368421053,1.02631578947368,1.39473684210526,1.11578947368421,1.56842105263158,43,1.13157894736842,2.23157894736842,3.13684210526316,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Atalanta",38,2.68421052631579,1.36842105263158,2.18421052631579,0.91578947368421,40,2.47368421052632,1.15789473684211,2.21578947368421,1.26315789473684,5.1578947368421,2.52631578947368,NA,NA,NA,NA,NA,2.05263157894737,4.4,2.17894736842105,2020,2.57894736842105,1.26315789473684,2.2,1.08947368421053,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Bologna",23,1.31578947368421,1.52631578947368,1.44736842105263,1.41052631578947,24,1.42105263157895,1.89473684210526,1.53157894736842,1.46842105263158,2.73684210526316,3.42105263157895,NA,NA,NA,NA,NA,1.23684210526316,2.97894736842105,2.87894736842105,2020,1.36842105263158,1.71052631578947,1.48947368421053,1.43947368421053,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Brescia",14,1.10526315789474,1.78947368421053,1.3,1.93684210526316,11,0.736842105263158,2.36842105263158,0.984210526315789,1.97894736842105,1.84210526315789,4.1578947368421,NA,NA,NA,NA,NA,0.657894736842105,2.28421052631579,3.91578947368421,2020,0.921052631578947,2.07894736842105,1.14210526315789,1.9578947368421,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Cagliari",25,1.68421052631579,1.47368421052632,1.24210526315789,1.47368421052632,20,1.05263157894737,1.47368421052632,0.952631578947368,1.62105263157895,2.73684210526316,2.94736842105263,NA,NA,NA,NA,NA,1.18421052631579,2.19473684210526,3.09473684210526,2020,1.36842105263158,1.47368421052632,1.09736842105263,1.54736842105263,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Fiorentina",23,1.15789473684211,1.15789473684211,1.43684210526316,1.16315789473684,26,1.52631578947368,1.36842105263158,1.36315789473684,1.41578947368421,2.68421052631579,2.52631578947368,NA,NA,NA,NA,NA,1.28947368421053,2.8,2.57894736842105,2020,1.34210526315789,1.26315789473684,1.4,1.28947368421053,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Genoa",22,1.26315789473684,1.63157894736842,1.25263157894737,1.43684210526316,17,1.21052631578947,2.21052631578947,1.31578947368421,1.74210526315789,2.47368421052632,3.8421052631579,NA,NA,NA,NA,NA,1.02631578947368,2.56842105263158,3.17894736842105,2020,1.23684210526316,1.92105263157895,1.28421052631579,1.58947368421053,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Hellas Verona",32,1.52631578947368,1.31578947368421,1.39473684210526,1.23684210526316,17,0.947368421052632,1.36842105263158,1.27368421052632,1.57368421052632,2.47368421052632,2.68421052631579,NA,NA,NA,NA,NA,1.28947368421053,2.66842105263158,2.81052631578947,2020,1.23684210526316,1.34210526315789,1.33421052631579,1.40526315789474,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Inter",39,2.10526315789474,0.894736842105263,2.01578947368421,1.12105263157895,43,2.15789473684211,1,1.61578947368421,1.01052631578947,4.26315789473684,1.89473684210526,NA,NA,NA,NA,NA,2.15789473684211,3.63157894736842,2.13157894736842,2020,2.13157894736842,0.947368421052632,1.81578947368421,1.06578947368421,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Juventus",50,2.42105263157895,0.894736842105263,2.27894736842105,0.921052631578947,33,1.57894736842105,1.36842105263158,1.45789473684211,1.43684210526316,4,2.26315789473684,NA,NA,NA,NA,NA,2.18421052631579,3.73684210526316,2.35789473684211,2020,2,1.13157894736842,1.86842105263158,1.17894736842105,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Lazio",45,2.42105263157895,0.894736842105263,2.12631578947368,1.16315789473684,33,1.73684210526316,1.31578947368421,1.45263157894737,1.53157894736842,4.1578947368421,2.21052631578947,NA,NA,NA,NA,NA,2.05263157894737,3.57894736842105,2.69473684210526,2020,2.07894736842105,1.10526315789474,1.78947368421053,1.34736842105263,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Lecce",17,1.57894736842105,2.15789473684211,1.47368421052632,2.21052631578947,18,1.15789473684211,2.31578947368421,1.39473684210526,2.29473684210526,2.73684210526316,4.47368421052632,NA,NA,NA,NA,NA,0.921052631578947,2.86842105263158,4.50526315789474,2020,1.36842105263158,2.23684210526316,1.43421052631579,2.25263157894737,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Milan",33,1.63157894736842,1.05263157894737,1.68421052631579,1.14210526315789,33,1.68421052631579,1.36842105263158,1.64210526315789,1.23157894736842,3.31578947368421,2.42105263157895,NA,NA,NA,NA,NA,1.73684210526316,3.32631578947368,2.37368421052632,2020,1.65789473684211,1.21052631578947,1.66315789473684,1.18684210526316,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Napoli",33,1.63157894736842,1.26315789473684,1.93684210526316,1.15263157894737,29,1.57894736842105,1.36842105263158,1.32105263157895,1.19473684210526,3.21052631578947,2.63157894736842,NA,NA,NA,NA,NA,1.63157894736842,3.2578947368421,2.34736842105263,2020,1.60526315789474,1.31578947368421,1.62894736842105,1.17368421052632,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Parma",23,1.36842105263158,1.26315789473684,1.44210526315789,1.42105263157895,26,1.57894736842105,1.73684210526316,1.12105263157895,1.96315789473684,2.94736842105263,3,NA,NA,NA,NA,NA,1.28947368421053,2.56315789473684,3.38421052631579,2020,1.47368421052632,1.5,1.28157894736842,1.69210526315789,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Roma",34,1.89473684210526,1.42105263157895,2.24210526315789,1.24736842105263,36,2.15789473684211,1.26315789473684,1.61578947368421,1.37368421052632,4.05263157894737,2.68421052631579,NA,NA,NA,NA,NA,1.84210526315789,3.8578947368421,2.62105263157895,2020,2.02631578947368,1.34210526315789,1.92894736842105,1.31052631578947,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","SPAL",10,0.842105263157895,2.10526315789474,1.13684210526316,1.66842105263158,10,0.578947368421053,1.94736842105263,1.00526315789474,1.96842105263158,1.42105263157895,4.05263157894737,NA,NA,NA,NA,NA,0.526315789473684,2.14210526315789,3.63684210526316,2020,0.710526315789474,2.02631578947368,1.07105263157895,1.81842105263158,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Sampdoria",22,1.31578947368421,1.57894736842105,1.47368421052632,1.23684210526316,20,1.21052631578947,1.84210526315789,1.16842105263158,1.65789473684211,2.52631578947368,3.42105263157895,NA,NA,NA,NA,NA,1.10526315789474,2.64210526315789,2.89473684210526,2020,1.26315789473684,1.71052631578947,1.32105263157895,1.44736842105263,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Sassuolo",27,2.31578947368421,1.73684210526316,1.53684210526316,1.47368421052632,24,1.31578947368421,1.57894736842105,1.24736842105263,1.77894736842105,3.63157894736842,3.31578947368421,NA,NA,NA,NA,NA,1.34210526315789,2.78421052631579,3.25263157894737,2020,1.81578947368421,1.65789473684211,1.3921052631579,1.62631578947368,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Torino",25,1.21052631578947,1.57894736842105,1.05789473684211,1.55263157894737,15,1.21052631578947,2,1.3,1.63684210526316,2.42105263157895,3.57894736842105,NA,NA,NA,NA,NA,1.05263157894737,2.35789473684211,3.18947368421053,2020,1.21052631578947,1.78947368421053,1.17894736842105,1.59473684210526,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Udinese",24,0.947368421052632,1.21052631578947,1.06842105263158,1.22105263157895,21,1,1.47368421052632,1.12631578947368,1.58947368421053,1.94736842105263,2.68421052631579,NA,NA,NA,NA,NA,1.18421052631579,2.19473684210526,2.81052631578947,2020,0.973684210526316,1.34210526315789,1.09736842105263,1.40526315789474,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Atalanta",39,2.57894736842105,1.26315789473684,1.98421052631579,1.1,39,2.15789473684211,1.21052631578947,1.93684210526316,1.05789473684211,4.73684210526316,2.47368421052632,NA,NA,NA,NA,NA,2.05263157894737,3.92105263157895,2.15789473684211,2021,NA,NA,NA,NA,NA,2.36842105263158,1.23684210526316,1.96052631578947,1.07894736842105,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Benevento",13,1,2.05263157894737,1.17894736842105,1.58947368421053,20,1.10526315789474,1.89473684210526,0.947368421052632,1.77368421052632,2.10526315789474,3.94736842105263,NA,NA,NA,NA,NA,0.868421052631579,2.12631578947368,3.36315789473684,2021,NA,NA,NA,NA,NA,1.05263157894737,1.97368421052632,1.06315789473684,1.68157894736842,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Bologna",26,1.73684210526316,1.73684210526316,1.45789473684211,1.74736842105263,15,0.947368421052632,1.68421052631579,1.41578947368421,1.5421052631579,2.68421052631579,3.42105263157895,NA,NA,NA,NA,NA,1.07894736842105,2.87368421052632,3.28947368421053,2021,NA,NA,NA,NA,NA,1.34210526315789,1.71052631578947,1.43684210526316,1.64473684210526,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Cagliari",19,1.15789473684211,1.68421052631579,1.32105263157895,1.61578947368421,18,1.10526315789474,1.42105263157895,1.16315789473684,1.62631578947368,2.26315789473684,3.10526315789474,NA,NA,NA,NA,NA,0.973684210526316,2.48421052631579,3.24210526315789,2021,NA,NA,NA,NA,NA,1.13157894736842,1.55263157894737,1.24210526315789,1.62105263157895,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Crotone",17,1.21052631578947,1.84210526315789,1.05789473684211,1.76842105263158,6,1.15789473684211,3,1.07368421052632,1.96315789473684,2.36842105263158,4.8421052631579,NA,NA,NA,NA,NA,0.605263157894737,2.13157894736842,3.73157894736842,2021,NA,NA,NA,NA,NA,1.18421052631579,2.42105263157895,1.06578947368421,1.86578947368421,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Fiorentina",24,1.31578947368421,1.31578947368421,1.31578947368421,1.56842105263158,16,1.15789473684211,1.78947368421053,1.06315789473684,1.66842105263158,2.47368421052632,3.10526315789474,NA,NA,NA,NA,NA,1.05263157894737,2.37894736842105,3.23684210526316,2021,NA,NA,NA,NA,NA,1.23684210526316,1.55263157894737,1.18947368421053,1.61842105263158,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Genoa",22,1.52631578947368,1.57894736842105,1.15263157894737,1.5,20,0.947368421052632,1.47368421052632,0.878947368421053,1.67894736842105,2.47368421052632,3.05263157894737,NA,NA,NA,NA,NA,1.10526315789474,2.03157894736842,3.17894736842105,2021,NA,NA,NA,NA,NA,1.23684210526316,1.52631578947368,1.01578947368421,1.58947368421053,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Hellas Verona",24,1.21052631578947,1.21052631578947,1.41666666666667,1.21111111111111,21,1.21052631578947,1.31578947368421,1.05789473684211,1.44736842105263,2.42105263157895,2.52631578947368,NA,NA,NA,NA,NA,1.18421052631579,2.47456140350877,2.65847953216374,2021,NA,NA,NA,NA,NA,1.21052631578947,1.26315789473684,1.23728070175439,1.32923976608187,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Inter",52,2.78947368421053,0.947368421052632,1.93157894736842,1.14210526315789,39,1.89473684210526,0.894736842105263,1.97368421052632,0.963157894736842,4.68421052631579,1.84210526315789,NA,NA,NA,NA,NA,2.39473684210526,3.90526315789474,2.10526315789474,2021,NA,NA,NA,NA,NA,2.34210526315789,0.921052631578947,1.95263157894737,1.05263157894737,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
